day,Open,High,Low,Close
2003-06-27,152.17,152.17,152.0,152.0
2003-06-26,152.4,152.4,151.88,151.88
2003-06-25,152.21,152.64,152.21,152.64
2003-06-24,151.8,152.01,151.8,152.01
2003-06-23,152.24,152.24,151.59,151.59
2003-06-20,152.43,152.43,152.43,152.43
2003-06-19,151.97,152.02,151.97,152.02
2003-06-18,151.62,151.73,151.62,151.73
2003-06-17,151.87,151.87,151.67,151.67
2003-06-16,151.99,151.99,151.97,151.97
2003-06-13,152.59,152.59,152.2,152.2
2003-12-06,152.43,152.43,152.4,152.4
2003-11-06,152.21,152.25,152.21,152.25
2003-10-06,152.2,152.23,152.2,152.23
2003-09-06,152.49,152.49,152.35,152.35
2003-06-06,151.47,151.82,151.47,151.82
2003-05-06,150.79,151.69,150.79,151.69
2003-04-06,151.63,151.63,151.61,151.61
2003-03-06,151.69,151.69,151.6,151.6
2003-02-06,151.45,151.66,151.45,151.66
2003-05-30,152.48,152.48,152.24,152.24
2003-05-29,152.74,152.74,152.32,152.32
2003-05-28,153.04,153.04,152.74,152.74
2003-05-27,152.81,152.81,152.56,152.56
2003-05-26,153.33,153.33,152.78,152.78
2003-05-23,153.32,153.32,152.92,152.92
2003-05-22,152.92,153.18,152.92,153.18
2003-05-21,154.4,154.4,153.36,153.36
2003-05-20,153.9,154.18,153.9,154.18
2003-05-19,154.18,154.18,154.18,154.18
2003-05-16,155.8,155.8,155.8,155.8
2003-05-15,155.67,155.67,155.67,155.67
2003-05-14,157.4,157.4,157.4,157.4
2003-05-13,158.54,158.54,158.54,158.54
2003-12-05,157.89,157.89,157.89,157.89
2003-09-05,156.57,156.57,156.57,156.57
2003-08-05,155.92,155.92,155.92,155.92
2003-07-05,154.82,154.82,154.82,154.82
2003-06-05,153.29,153.29,153.29,153.29
2003-05-05,152.21,152.21,152.21,152.21
2003-04-29,152.54,152.54,152.54,152.54
2003-04-28,152.75,152.75,152.75,152.75
2003-04-25,152.96,152.96,152.96,152.96
2003-04-24,152.98,152.98,152.98,152.98
2003-04-23,152.58,152.58,152.58,152.58
2003-04-22,151.96,151.96,151.96,151.96
2003-04-21,151.97,151.97,151.97,151.97
2003-04-18,152.17,152.17,152.17,152.17
2003-04-17,150.67,150.67,150.67,150.67
2003-04-16,148.78,148.78,148.78,148.78
2003-04-15,148.69,148.69,148.69,148.69
2003-04-14,149.02,149.02,149.02,149.02
2003-11-04,149.27,149.27,149.27,149.27
2003-10-04,147.66,147.66,147.66,147.66
2003-09-04,146.49,146.49,146.49,146.49
2003-08-04,147.14,147.14,147.14,147.14
2003-07-04,149.39,149.39,149.39,149.39
2003-04-04,150.22,150.22,150.22,150.22
2003-03-04,149.18,149.18,149.18,149.18
2003-02-04,144.93,144.93,144.93,144.93
2003-01-04,139.64,139.64,139.64,139.64
2003-03-31,145.41,145.41,145.41,145.41
2003-03-28,150.53,150.53,150.53,150.53
2003-03-27,151.96,151.96,151.96,151.96
2003-03-26,152.36,152.36,152.36,152.36
2003-03-25,153.07,153.07,153.07,153.07
2003-03-24,153.94,153.94,153.94,153.94
2003-03-21,155.24,155.24,155.24,155.24
2003-03-20,156.14,156.14,156.14,156.14
2003-03-19,157.95,157.95,157.95,157.95
2003-03-18,157.83,157.83,157.83,157.83
2003-03-17,160.7,160.7,160.7,160.7
2003-03-14,161.3,161.3,161.3,161.3
2003-03-13,161.63,161.63,161.63,161.63
2003-12-03,162.11,162.11,162.11,162.11
2003-11-03,162.86,162.86,162.86,162.86
2003-10-03,163.57,163.57,163.57,163.57
2003-07-03,164.02,164.02,164.02,164.02
2003-06-03,164.28,164.28,164.28,164.28
2003-05-03,164.34,164.34,164.34,164.34
2003-04-03,164.91,164.91,164.91,164.91
2003-03-03,165.58,165.58,165.58,165.58
2003-02-28,164.61,164.61,164.61,164.61
2003-02-27,164.69,164.69,164.69,164.69
2003-02-26,164.71,164.71,164.71,164.71
2003-02-25,165.29,165.29,165.29,165.29
2003-02-24,165.48,165.48,165.48,165.48
2003-02-21,164.62,164.62,164.62,164.62
2003-02-20,165.99,165.99,165.99,165.99
